frameindex,frametime,cputime,culltime,gputime,draws,tris,
1333,9961.700195,2257.100098,1811.400024,7867.000000,2553,29943569,
1334,10330.799805,2379.000000,1943.900024,8109.000000,2546,29659260,
1335,10057.299805,2250.199951,1806.300049,7960.200195,2506,29687420,
1336,10184.400391,2368.500000,1910.099976,7968.200195,2462,30141734,
1337,10199.900391,2273.899902,1815.500000,8096.200195,2452,30437478,
1338,10175.099609,2292.100098,1815.400024,8054.899902,2462,30484091,
1339,10266.400391,2301.199951,1864.699951,8120.299805,2516,30958074,
1340,10287.299805,2323.800049,1850.500000,8143.700195,2560,34051866,
1341,10284.200195,2346.699951,1886.400024,8107.299805,2558,34043674,
1342,10191.599609,2224.899902,1737.800049,8132.600098,2566,34239546,
1343,10530.500000,2398.199951,1918.800049,8305.700195,2545,34085450,
1344,10254.900391,2388.500000,1896.099976,8035.100098,2539,34058698,
1345,10520.400391,2379.399902,1910.699951,8314.299805,2557,33893178,
1346,10356.400391,2425.600098,1920.599976,8117.799805,2526,34248100,
1347,10703.099609,2411.500000,1909.800049,8475.000000,2617,35163064,
1348,10304.099609,2357.100098,1846.900024,8134.100098,2573,35165688,
1349,10824.799805,2377.699951,1888.000000,8610.299805,2635,34824782,
1350,10284.099609,2398.899902,1924.000000,8064.399902,2555,34859470,
1351,10899.200195,2403.600098,1887.000000,8685.200195,3128,33650918,
1352,10734.099609,2325.000000,1825.199951,8590.400391,2719,33540006,
1353,10361.500000,2399.399902,1890.099976,8134.799805,2689,33542630,
1354,10607.400391,2378.699951,1894.199951,8397.700195,2713,33338598,
1355,10405.900391,2331.199951,1857.300049,8247.200195,2678,33205094,
1356,10648.599609,2431.199951,1952.599976,8394.400391,2660,33241766,
1357,10460.900391,2359.899902,1874.300049,8280.400391,2637,33818106,
1358,10935.700195,2406.100098,1921.900024,8707.299805,2659,34148362,
1359,10481.900391,2309.000000,1847.099976,8341.099609,2654,34152698,
1360,11086.400391,2449.699951,1947.000000,8824.599609,2653,32782170,
1361,10341.599609,2249.800049,1799.400024,8254.099609,2648,33829210,
1362,10742.099609,2473.399902,1989.400024,8439.799805,2654,33694586,
1363,10435.700195,2392.600098,1923.199951,8212.299805,2619,30737274,
1364,10511.200195,2353.199951,1919.400024,8315.299805,2637,30877946,
1365,10774.200195,2373.699951,1880.099976,8578.700195,2643,30698090,
1366,10539.799805,2394.899902,1933.099976,8312.299805,2632,30702618,
1367,10865.599609,2481.500000,1994.699951,8566.200195,2651,30744218,
1368,10775.099609,2488.100098,2034.099976,8451.900391,2677,30655962,
1369,10703.799805,2361.199951,1883.900024,8510.700195,2673,30523760,
1370,10670.900391,2469.699951,2001.900024,8366.200195,2665,30944858,
1371,11286.799805,2581.399902,2083.800049,8873.900391,2660,31347716,
1372,10531.700195,2417.699951,1923.199951,8293.599609,2664,31279108,
1373,10790.900391,2616.199951,2149.699951,8345.299805,2633,31217796,
1374,10635.900391,2333.199951,1847.199951,8470.500000,2656,31066884,
1375,10576.400391,2457.800049,1974.800049,8305.500000,2684,30985391,
1376,10911.099609,2688.600098,2207.100098,8402.900391,2667,30743258,
1377,10791.000000,2518.300049,2048.500000,8436.700195,2677,30840218,
